==24867== NVPROF is profiling process 24867, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -ml=0 -mu 0.1 -l -a 1000 -i 1 -r 0.1 -PCRq 0.3,2,1,2 -c -s -f
==24867== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24867== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -ml=0 -mu 0.1 -l -a 1000 -i 1 -r 0.1 -PCRq 0.3,2,1,2 -c -s -f
==24867== Profiling result:
==24867== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
          7                     dram_write_throughput                                        Device Memory Write Throughput  2.5368MB/s  7.1419MB/s  5.4296MB/s
          7                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          7             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          7                          ecc_transactions                                                      ECC Transactions           0           0           0
          7                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                           dram_read_bytes                                Total bytes read from DRAM to L2 cache     4194496     4202624     4195858
          7                          dram_write_bytes                             Total bytes written from L2 cache to DRAM        1568        4416        3364
    Kernel: brute_force_AL(unsigned char, float*)
          6                             inst_per_warp                                                 Instructions per warp  1.9295e+03  1.9295e+03  1.9295e+03
          6                         branch_efficiency                                                     Branch Efficiency      96.69%      96.69%      96.69%
          6                 warp_execution_efficiency                                             Warp Execution Efficiency      75.43%      75.43%      75.43%
          6         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      67.71%      67.71%      67.71%
          6                      inst_replay_overhead                                           Instruction Replay Overhead    0.000009    0.000010    0.000010
          6      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          6     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          6       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          6      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          6              gld_transactions_per_request                                  Global Load Transactions Per Request    0.000000    0.000000    0.000000
          6              gst_transactions_per_request                                 Global Store Transactions Per Request    4.000000    4.000000    4.000000
          6                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          6                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          6                   local_load_transactions                                               Local Load Transactions           0           0           0
          6                  local_store_transactions                                              Local Store Transactions           0           0           0
          6                          gld_transactions                                              Global Load Transactions           2           2           2
          6                          gst_transactions                                             Global Store Transactions      131072      131072      131072
          6                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          6                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          6                      l2_read_transactions                                                  L2 Read Transactions          96         208         133
          6                     l2_write_transactions                                                 L2 Write Transactions      131085      131085      131085
          6                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          6                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          6                  gld_requested_throughput                                      Requested Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                  gst_requested_throughput                                     Requested Global Store Throughput  2.5202GB/s  2.5395GB/s  2.5335GB/s
          6                            gld_throughput                                                Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                            gst_throughput                                               Global Store Throughput  2.5202GB/s  2.5395GB/s  2.5335GB/s
          6                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          6                        tex_cache_hit_rate                                                Unified Cache Hit Rate      50.00%      50.00%      50.00%
          6                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
          6                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)       0.00%       0.00%       0.00%
          6                      tex_cache_throughput                                              Unified Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  0.00000B/s  0.00000B/s  0.00000B/s
          6                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  2.5202GB/s  2.5395GB/s  2.5335GB/s
          6                        l2_read_throughput                                                 L2 Throughput (Reads)  1.8901MB/s  4.1239MB/s  2.6390MB/s
          6                       l2_write_throughput                                                L2 Throughput (Writes)  2.5204GB/s  2.5398GB/s  2.5337GB/s
          6                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                   sysmem_write_throughput                                        System Memory Write Throughput  100.81KB/s  101.58KB/s  101.34KB/s
          6                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                            gld_efficiency                                         Global Memory Load Efficiency       0.00%       0.00%       0.00%
          6                            gst_efficiency                                        Global Memory Store Efficiency     100.00%     100.00%     100.00%
          6                    tex_cache_transactions                                            Unified Cache Transactions           0           0           0
          6                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          6                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          6                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          6                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          6                             flop_count_sp                           Floating Point Operations(Single Precision)    60293120    60293120    60293120
          6                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)    60293120    60293120    60293120
          6                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          6                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          6                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          6                             inst_executed                                                 Instructions Executed    63225856    63225856    63225856
          6                               inst_issued                                                   Instructions Issued    63226461    63226547    63226488
          6                        sysmem_utilization                                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          6                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)      10.65%      10.73%      10.69%
          6                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      17.07%      17.16%      17.10%
          6                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)       0.00%       0.00%       0.00%
          6                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          6                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          6                               stall_other                                           Issue Stall Reasons (Other)      60.13%      60.37%      60.26%
          6          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.01%       0.01%       0.01%
          6                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       2.74%       2.76%       2.75%
          6                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          6                                inst_fp_32                                               FP Instructions(Single)    60293120    60293120    60293120
          6                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          6                              inst_integer                                                  Integer Instructions  1080557568  1080557568  1080557568
          6                          inst_bit_convert                                              Bit-Convert Instructions    10485760    10485760    10485760
          6                              inst_control                                             Control-Flow Instructions    95944704    95944704    95944704
          6                        inst_compute_ld_st                                               Load/Store Instructions    62390272    62390272    62390272
          6                                 inst_misc                                                     Misc Instructions    60293120    60293120    60293120
          6           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          6                               issue_slots                                                           Issue Slots    55165533    55165619    55165560
          6                                 cf_issued                                      Issued Control-Flow Instructions    10551296    10551296    10551296
          6                               cf_executed                                    Executed Control-Flow Instructions    10551296    10551296    10551296
          6                               ldst_issued                                        Issued Load/Store Instructions     5144576     5144576     5144576
          6                             ldst_executed                                      Executed Load/Store Instructions     5046272     5046272     5046272
          6                       atomic_transactions                                                   Atomic Transactions           0           0           0
          6           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          6                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          6                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          6                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)           0           0           0
          6                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.06%       0.06%       0.06%
          6                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       9.11%       9.16%       9.14%
          6                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      131072      131072      131072
          6                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          6                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          6                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          6                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          6                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          6                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          6                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          6               pcie_total_data_transmitted                                           PCIe Total Data Transmitted           0           0           0
          6                  pcie_total_data_received                                              PCIe Total Data Received           0         512          85
          6                inst_executed_global_loads                              Warp level instructions for global loads           0           0           0
          6                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          6                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          6               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          6               inst_executed_global_stores                             Warp level instructions for global stores       32768       32768       32768
          6                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          6               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          6              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          6              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          6           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          6             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          6          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          6              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          6                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          6                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads           0           0           0
          6                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          6                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          6               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     4194304     4194304     4194304
          6                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          6              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          6                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          6                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          6             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          6                      global_load_requests              Total number of global load requests from Multiprocessor           0           0           0
          6                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          6                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          6                     global_store_requests             Total number of global store requests from Multiprocessor      131072      131072      131072
          6                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          6                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          6                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          6                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          6                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          6                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          6                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          6                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          6                           l2_tex_hit_rate                                                     L2 Cache Hit Rate       0.00%       0.00%       0.00%
          6                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          6                     unique_warps_launched                                              Number of warps launched       32768       32768       32768
          6                             sm_efficiency                                               Multiprocessor Activity      99.11%      99.38%      99.26%
          6                        achieved_occupancy                                                    Achieved Occupancy    0.829100    0.833306    0.831909
          6                                       ipc                                                          Executed IPC    3.974147    3.979145    3.976880
          6                                issued_ipc                                                            Issued IPC    3.974186    3.979184    3.976911
          6                    issue_slot_utilization                                                Issue Slot Utilization      86.69%      86.80%      86.75%
          6                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    8.011511    8.021485    8.017106
          6                           tex_utilization                                             Unified Cache Utilization    Idle (0)    Idle (0)    Idle (0)
          6                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          6                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          6                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          6                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (3)     Low (3)     Low (3)
          6                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          6                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          6           single_precision_fu_utilization                            Single-Precision Function Unit Utilization    High (9)    High (9)    High (9)
          6           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          6                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          6                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       1.47%       1.48%       1.47%
          6                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          6                    dram_read_transactions                                       Device Memory Read Transactions          38          70          43
          6                   dram_write_transactions                                      Device Memory Write Transactions      130550      130886      130788
          6                      dram_read_throughput                                         Device Memory Read Throughput  766.13KB/s  1.3882MB/s  878.27KB/s
          6                     dram_write_throughput                                        Device Memory Write Throughput  2.5166GB/s  2.5337GB/s  2.5280GB/s
          6                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          6             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          6                          ecc_transactions                                                      ECC Transactions           0           0           0
          6                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          6                           dram_read_bytes                                Total bytes read from DRAM to L2 cache        1216        2240        1386
          6                          dram_write_bytes                             Total bytes written from L2 cache to DRAM     4177600     4188352     4185237
